date|active users (1+)
1/1/11|101
1/2/11|136
1/3/11|165
1/4/11|185
1/5/11|213
1/6/11|164
1/7/11|179
1/8/11|161
1/9/11|159
1/10/11|205
1/11/11|212
1/12/11|221
1/13/11|230
1/14/11|201
1/15/11|175
1/16/11|155
1/17/11|223
1/18/11|246
1/19/11|195
1/20/11|225
1/21/11|229
1/22/11|184
1/23/11|187
1/24/11|216
1/25/11|237
1/26/11|224
1/27/11|217
1/28/11|217
1/29/11|202
1/30/11|177
1/31/11|226
2/1/11|273
2/2/11|281
2/3/11|230
2/4/11|219
2/5/11|225
2/6/11|211
2/7/11|245
2/8/11|230
2/9/11|206
2/10/11|214
2/11/11|234
2/12/11|187
2/13/11|179
2/14/11|258
2/15/11|267
2/16/11|235
2/17/11|241
2/18/11|248
2/19/11|191
2/20/11|225
2/21/11|253
2/22/11|278
2/23/11|292
2/24/11|241
2/25/11|274
2/26/11|276
2/27/11|256
2/28/11|269
3/1/11|298
3/2/11|281
3/3/11|286
3/4/11|268
3/5/11|207
3/6/11|266
3/7/11|312
3/8/11|291
3/9/11|280
3/10/11|260
3/11/11|271
3/12/11|321
3/13/11|246
3/14/11|343
3/15/11|357
3/16/11|325
3/17/11|314
3/18/11|328
3/19/11|223
3/20/11|206
3/21/11|309
3/22/11|261
3/23/11|309
3/24/11|335
3/25/11|287
3/26/11|261
3/27/11|258
3/28/11|368
3/29/11|322
3/30/11|318
3/31/11|350
4/1/11|359
4/2/11|321
4/3/11|297
4/4/11|393
4/5/11|373
4/6/11|343
4/7/11|327
4/8/11|346
4/9/11|274
4/10/11|294
4/11/11|355
4/12/11|375
4/13/11|347
4/14/11|331
4/15/11|302
4/16/11|298
4/17/11|280
4/18/11|347
4/19/11|338
4/20/11|379
4/21/11|180
4/22/11|345
4/23/11|322
4/24/11|271
4/25/11|367
4/26/11|349
4/27/11|365
4/28/11|354
4/29/11|342
4/30/11|363
5/1/11|353
5/2/11|445
5/3/11|474
5/4/11|420
5/5/11|369
5/6/11|380
5/7/11|388
5/8/11|273
5/9/11|330
5/10/11|388
5/11/11|373
5/13/11|415
5/14/11|341
5/15/11|328
5/16/11|397
5/17/11|421
5/18/11|409
5/19/11|389
5/20/11|400
5/21/11|327
5/22/11|323
5/23/11|404
5/24/11|466
5/25/11|385
5/26/11|374
5/27/11|390
5/28/11|319
5/29/11|319
5/30/11|320
5/31/11|489
6/1/11|518
6/2/11|550
6/3/11|472
6/4/11|391
6/5/11|411
6/6/11|475
6/7/11|553
6/8/11|501
6/9/11|461
6/10/11|453
6/11/11|373
6/12/11|431
6/13/11|481
6/14/11|473
6/15/11|483
6/16/11|457
6/17/11|454
6/18/11|396
6/19/11|379
6/20/11|470
6/21/11|484
6/22/11|408
6/23/11|412
6/24/11|457
6/25/11|418
6/26/11|387
6/27/11|438
6/28/11|537
6/29/11|497
6/30/11|544
7/1/11|665
7/2/11|416
7/3/11|362
7/4/11|442
7/5/11|610
7/6/11|613
7/7/11|570
7/8/11|532
7/9/11|448
7/10/11|488
7/11/11|551
7/12/11|580
7/13/11|475
7/14/11|429
7/15/11|571
7/16/11|461
7/17/11|449
7/18/11|550
7/19/11|524
7/20/11|554
7/21/11|528
7/22/11|573
7/23/11|488
7/24/11|460
7/25/11|586
7/26/11|652
7/27/11|597
7/28/11|520
7/29/11|668
7/30/11|474
7/31/11|522
8/1/11|739
8/2/11|741
8/3/11|641
8/4/11|639
8/5/11|681
8/6/11|563
8/7/11|589
8/8/11|670
8/9/11|654
8/10/11|731
8/11/11|615
8/12/11|670
8/13/11|530
8/14/11|564
8/15/11|690
8/16/11|731
8/17/11|669
8/18/11|604
8/19/11|709
8/20/11|547
8/21/11|571
8/22/11|702
8/23/11|694
8/24/11|655
8/25/11|717
8/26/11|658
8/27/11|554
8/28/11|501
