month	total_signups	average_signups	median_signups	average_actives	median_actives
1	1894	61.096774193548384	44	195.70967741935485	202
2	1716	61.285714285714285	53	240.64285714285714	241
3	3252	104.90322580645162	102	292.2903225806452	291
4	1942	64.73333333333333	61	331.23333333333335	344
5	2512	81.03225806451613	74	380.3	387
6	3519	117.3	109	458.8	459
7	3184	102.70967741935483	98	527.6774193548387	528
8	3981	128.41935483870967	133	656.1290322580645	658
9	4030	134.33333333333334	128	809.2413793103449	841
10	4010	129.3548387096774	128	914.483870967742	925
11	4644	154.8	159	1040.5333333333333	1048
12	5414	174.6451612903226	172	1194.0967741935483	1230
