date|signups
1/1/11|16
1/2/11|45
1/3/11|37
1/4/11|43
1/5/11|55
1/6/11|51
1/7/11|36
1/8/11|17
1/9/11|41
1/10/11|54
1/11/11|53
1/12/11|39
1/13/11|47
1/14/11|35
1/15/11|28
1/16/11|30
1/17/11|33
1/18/11|39
1/19/11|152
1/20/11|89
1/21/11|100
1/22/11|140
1/23/11|106
1/24/11|139
1/25/11|180
1/26/11|86
1/27/11|44
1/28/11|36
1/29/11|45
1/30/11|37
1/31/11|41
2/1/11|105
2/2/11|47
2/3/11|52
2/4/11|53
2/5/11|29
2/6/11|38
2/7/11|63
2/8/11|52
2/9/11|52
2/10/11|66
2/11/11|85
2/12/11|32
2/13/11|35
2/14/11|48
2/15/11|80
2/16/11|60
2/17/11|143
2/18/11|73
2/19/11|44
2/20/11|55
2/21/11|40
2/22/11|81
2/23/11|131
2/24/11|62
2/25/11|48
2/26/11|40
2/27/11|36
2/28/11|66
3/1/11|63
3/2/11|67
3/3/11|132
3/4/11|158
3/5/11|59
3/6/11|67
3/7/11|102
3/8/11|131
3/9/11|108
3/10/11|94
3/11/11|94
3/12/11|130
3/13/11|115
3/14/11|118
3/15/11|213
3/16/11|154
3/17/11|88
3/18/11|120
3/19/11|81
3/20/11|74
3/21/11|116
3/22/11|89
3/23/11|144
3/24/11|149
3/25/11|90
3/26/11|49
3/27/11|48
3/28/11|117
3/29/11|112
3/30/11|92
3/31/11|78
4/1/11|65
4/2/11|49
4/3/11|62
4/4/11|114
4/5/11|113
4/6/11|84
4/7/11|69
4/8/11|69
4/9/11|50
4/10/11|47
4/11/11|58
4/12/11|53
4/13/11|66
4/14/11|59
4/15/11|61
4/16/11|60
4/17/11|54
4/18/11|67
4/19/11|55
4/20/11|94
4/21/11|34
4/22/11|65
4/23/11|53
4/24/11|48
4/25/11|81
4/26/11|88
4/27/11|57
4/28/11|72
4/29/11|53
4/30/11|42
5/1/11|49
5/2/11|73
5/3/11|89
5/4/11|142
5/5/11|85
5/6/11|68
5/7/11|51
5/8/11|41
5/9/11|97
5/10/11|93
5/11/11|95
5/12/11|76
5/13/11|69
5/14/11|54
5/15/11|64
5/16/11|109
5/17/11|73
5/18/11|141
5/19/11|90
5/20/11|103
5/21/11|74
5/22/11|61
5/23/11|92
5/24/11|100
5/25/11|114
5/26/11|71
5/27/11|66
5/28/11|60
5/29/11|51
5/30/11|44
5/31/11|117
6/1/11|254
6/2/11|252
6/3/11|167
6/4/11|92
6/5/11|108
6/6/11|114
6/7/11|161
6/8/11|118
6/9/11|166
6/10/11|114
